Vehicle ID; Next Stop ID; Updated At; Scheduled Arrival; Predicted Arrival
39425386;2531;2019-01-09T11:00:10-05:00;2019-01-09T11:01:00-05:00;2019-01-09T11:01:40-05:00
39425383;2518;2019-01-09T11:00:14-05:00;2019-01-09T10:59:00-05:00;null
39425393;17863;2019-01-09T11:00:46-05:00;2019-01-09T11:00:00-05:00;null
39425386;2531;2019-01-09T11:00:45-05:00;2019-01-09T11:01:00-05:00;2019-01-09T11:01:34-05:00
39425383;34579;2019-01-09T11:01:14-05:00;2019-01-09T11:01:00-05:00;2019-01-09T11:03:47-05:00
39425386;2531;2019-01-09T11:02:01-05:00;2019-01-09T11:01:00-05:00;null
39425383;34579;2019-01-09T11:02:14-05:00;2019-01-09T11:01:00-05:00;2019-01-09T11:03:27-05:00
39425393;91391;2019-01-09T11:02:52-05:00;2019-01-09T11:03:00-05:00;2019-01-09T11:04:01-05:00
39425386;2774;2019-01-09T11:02:11-05:00;2019-01-09T11:03:00-05:00;2019-01-09T11:03:20-05:00
39425383;34579;2019-01-09T11:03:14-05:00;2019-01-09T11:01:00-05:00;null
39425393;91391;2019-01-09T11:04:06-05:00;2019-01-09T11:03:00-05:00;2019-01-09T11:03:45-05:00
39425386;2774;2019-01-09T11:04:04-05:00;2019-01-09T11:03:00-05:00;2019-01-09T11:03:52-05:00
39425383;11771;2019-01-09T11:04:11-05:00;2019-01-09T11:04:00-05:00;2019-01-09T11:05:58-05:00
39425393;11803;2019-01-09T11:05:09-05:00;2019-01-09T11:06:00-05:00;2019-01-09T11:06:31-05:00
39425386;2778;2019-01-09T11:05:06-05:00;2019-01-09T11:05:00-05:00;2019-01-09T11:05:51-05:00
39425383;11771;2019-01-09T11:05:12-05:00;2019-01-09T11:04:00-05:00;2019-01-09T11:06:19-05:00
39425386;2777;2019-01-09T11:06:06-05:00;2019-01-09T11:06:00-05:00;2019-01-09T11:06:18-05:00
39425383;11771;2019-01-09T11:06:12-05:00;2019-01-09T11:04:00-05:00;null
39425393;11803;2019-01-09T11:07:09-05:00;2019-01-09T11:06:00-05:00;2019-01-09T11:08:13-05:00
39425386;2874;2019-01-09T11:07:07-05:00;2019-01-09T11:10:00-05:00;2019-01-09T11:07:53-05:00
39425383;22173;2019-01-09T11:07:29-05:00;2019-01-09T11:07:00-05:00;2019-01-09T11:09:29-05:00
39425393;11803;2019-01-09T11:08:08-05:00;2019-01-09T11:06:00-05:00;2019-01-09T11:08:29-05:00
39425382;28741;2019-01-09T11:08:00-05:00;2019-01-09T11:20:00-05:00;null
39425382;28741;2019-01-09T11:09:11-05:00;2019-01-09T11:20:00-05:00;null
39425383;22173;2019-01-09T11:09:30-05:00;2019-01-09T11:07:00-05:00;null
39425382;28741;2019-01-09T11:09:46-05:00;2019-01-09T11:20:00-05:00;null
39425383;1773;2019-01-09T11:10:09-05:00;2019-01-09T11:10:00-05:00;2019-01-09T11:12:19-05:00
39425382;28741;2019-01-09T11:09:51-05:00;2019-01-09T11:20:00-05:00;null
39425383;1773;2019-01-09T11:11:09-05:00;2019-01-09T11:10:00-05:00;2019-01-09T11:12:28-05:00
39425393;1805;2019-01-09T11:12:08-05:00;2019-01-09T11:08:00-05:00;2019-01-09T11:12:31-05:00
39425382;28741;2019-01-09T11:10:51-05:00;2019-01-09T11:20:00-05:00;null
39425393;1805;2019-01-09T11:13:10-05:00;2019-01-09T11:08:00-05:00;null
39425383;1773;2019-01-09T11:12:09-05:00;2019-01-09T11:10:00-05:00;2019-01-09T11:12:33-05:00
39425382;28741;2019-01-09T11:11:51-05:00;2019-01-09T11:20:00-05:00;null
39425383;1775;2019-01-09T11:12:57-05:00;2019-01-09T11:12:00-05:00;2019-01-09T11:14:03-05:00
39425393;1807;2019-01-09T11:14:11-05:00;2019-01-09T11:11:00-05:00;2019-01-09T11:15:18-05:00
39425382;28741;2019-01-09T11:12:51-05:00;2019-01-09T11:20:00-05:00;null
